login,pass,ID
admin,admindev,1
NHRMHNVK, NRAJVAKXBHBC, 58
QLBDJMRR, ATDDYOSBUGWB, 59
RLGKLWMD, GOWIIMBMMAOG, 60
OSBNPXJH, WXWJWAWWSWWN, 61
QGRKEQIF, IAWTGUWQYJDD, 62
BGRTDBYF, IHLGOVRIMJVJ, 63
ULDRSPOK, BGMBLSLHMPQF, 64
ODVKBWPY, JLBPMDIVAKQX, 65
DYABNLEY, PEYGPACFHIFT, 66
LUQCQGGE, NXSFYVBDAPMR, 73
EUJTXUSU, JXUBLINJXBNA, 74
OJAFILGW, BNYWXEDXNFAA, 75
EOVUIUUV, EQOQXATVHIKC, 76
SRHSUJBU, DQMHBPNGPFYQ, 77
IJLIRSUL, RUFAHSCMXOJQ, 78
MJNXADRL, SHOXTEVYWQKU, 79
CVBQTDRP, CTMUYMEXJSGN, 80
KVOSYYGD, DBCAQHLLMQNY, 81
DGIDHHHR, SGPOKXHSSTNY, 82
